Words,Count
propose,1
beside,3
forgot,4
equal,4
proposal,1
englishmen,1
cautious,1
ours,3
warning,2
frivol,1
besides,7
vineandtendril,1
you’d,4
steady,1
stream,2
halfhour,1
evening,13
standing,1
fire,10
apparelled,1
subsequent,1
turquoise,1
comb,1
modishly,1
carried,3
spring,2
kind,8
circles,1
worn,2
solicitously,1
doing,3
sank,1
hal’s,1
spoke,6
victory,1
‘cause,1
compensate,1
crow’s,1
care,13
suspicion,1
questions,2
fad,1
comes,5
hungry,1
lifted,5
servant,4
majesty,1
younger,2
exquisitely,1
chiselled,1
vivid,1
colouring,2
thirtynine,3
tall,3
voluptuous,1
figure,3
outgrown,2
line,7
womanhood,2
neck,7
arms,8
greek,1
virginian,1
birth,2
inherited,5
highbred,2
ancestors,3
fathered,1
elizabeth’s,1
courtiers,2
slight,2
fullness,1
peculiar,1
warmed,2
touch,4
curved,1
scarlet,4
lips,12
rarely,4
pout,2
aid,1
imperious,2
averred,1
rare,3
occasions,2
guard,2
hint,2
modelling,1
selfwill,1
cruelty,1
tiara,1
rows,2
stones,3
depending,1
gold,3
chains,1
green,3
velvet,7
stomacher,1
arm,2
cloak,1
emerald,1
lined,4
fox,1
cold,11
brilliant,4
softened,2
flirting,1
lashes,1
lifting,1
steel,2
light,6
controlled,4
destinies,1
stupendous,1
enterprises,1
backbone,2
piled,2
child,7
piles,1
blocks,1
times,10
refused,4
nomination,1
highest,3
gift,3
worshipped,2
twentytwo,5
exulting,1
ambition,4
admiration,4
onerous,1
duties,1
leader,1
tempt,1
neglect,1
lavished,1
fortunes,5
immense,2
squander,1
record,2
palace,1
newport,2
carolina,1
mountains,1
jewels,10
million,9
desireto,1
glitter,1
courts,1
homage,3
princes,2
declined,1
missions,1
final,2
decision,2
prefer,2
presidency,1
nagging,1
worries,1
ambassador’s,1
absurdities,1
etiquette,1
irritate,1
daily,3
portion,1
lunatic,1
asylum,1
tin,1
gods,2
shine,1
star,4
mould,1
main,2
strength,1
forced,2
submit,1
depth,1
tenacity,1
passionate,2
nobility,2
generosity,1
character,3
ceased,2
exercise,1
enchantment,1
paid,6
increasing,2
court,3
moreover,4
hard,13
relentless,1
pursuit,1
aged,1
superb,2
appearance,5
distinction,3
concentration,1
passed,6
magnetism,6
goodwill,1
slender,1
powerful,5
betrayed,1
half,13
fiftyone,1
specimen,2
civilisation,2
vitality,2
enthusiasm,5
youth,2
wide,1
knowledge,6
intelligence,2
polished,1
warm,4
spontaneous,2
cared,1
vanity,1
dispensed,1
walking,2
advertisement,1
resented,2
borne,1
ugly,4
duckling,1
tiresome,1
husband’s,6
confidante,1
gigantic,1
schemes,1
financial,5
augusta’s,7
kinks,1
necktie,1
twist,1
sustained,1
bestgroomed,1
pleased,4
improve,1
fluttered,1
eyelashes,1
kissed,3
spooning,1
flatter,3
smiling,2
market,1
roof,2
barring,1
cynic,1
povertystricken,1
attention,6
autumn,1
visiting,1
tight,1
pull,5
children,6
however,4
plenty,2
snap,1
fish,1
fond,2
distinguished,3
foreigners,2
shrine,2
maurel,2
don,3
giovanni,3
means,6
v,1
tiers,1
boxes,2
metropolitan,1
reserved,1
plumage,1
gems,2
style,5
artifice,1
intense,2
saved,1
confusion,3
fashionplate,1
carrying,2
themselves,4
royal,1
selfconscious,1
crowned,1
empresses,1
starred,1
night,7
producing,1
en,2
masse,1
resplendent,1
individually,2
deficiency,1
centuries,1
seal,2
hung,6
frame,3
curving,1
background,1
suspended,1
goddesses,1
challenge,1
stare,6
music,2
decorate,1
lovers,1
stuffed,1
seemed,14
cling,1
flies,1
parquette,1
orchestra,1
chairs,2
dresscircle,1
balconies,1
represented,2
grand,3
tier,2
blasé,2
faces,1
studded,1
omnibus,1
behind,9
huge,3
sleeves,1
voluminous,1
sheathed,1
proudest,1
possessions,1
coined,1
triumphant,3
exhibition,1
curtain,2
second,4
emptied,1
male,2
enter,2
stage,1
scanned,1
moments,7
fashionettes,1
boy,4
pedigree,2
short,8
aristocratic,1
outline,1
observe,1
pug,1
unmitigated,1
tells,1
duchesses,1
cooks,1
grooming,1
health,2
admit,4
stunning,2
directly,2
gad,2
ripper,1
yours,2
edward,1
r,1
wealthiest,1
enjoy,2
throws,1
flashlight,1
pitiful,1
originality,1
petted,2
millionaire,2
forty,3
sixty,1
fifty,1
physique,3
pity,4
stranger,3
tip,1
booked,2
stolidly,2
pounds,8
nodollars,1
they’ll,1
saying,1
deeptoo,1
draw,1
solid,1
deucedly,1
ricketty,1
willing,7
brutally,2
wouldn’tcouldn’tmarry,1
venus,1
income,6
boot,1
stands,1
top,3
though,5
exaggerated,1
splurge,1
ones,2
there’s,6
parvenu,1
handled,1
halfas,1
happen,2
lawyerand,1
entertains,1
clothes,2
gorgeous,2
shrewd,1
seventy,1
millionsthat’s,1
allowing,1
embellishmentsif,1
dollar,2
goes,1
bankrupt,1
she’ll,3
twothirds,4
dot,1
vivacity,1
visitors,2
dismissed,2
tactful,1
badinage,1
beckoned,1
sit,9
commanded,4
genuine,2
hospitality,2
sought,1
englishman’s,1
flutter,1
transparent,1
addressed,2
resigned,1
bertie,5
variety,2
innocuous,1
nobody,2
pays,1
disdain,1
diversion,2
invent,1
ordered,1
allow,1
isn’t,8
ruin,4
tail,1
baldheaded,1
duke’s,7
implike,1
teeth,2
unwealthed,1
fixed,1
dukes,1
relatives,3
graduate,1
oxford,1
chosen,4
heir,1
dukedom,1
excessive,1
liveliness,1
adaptability,1
versatility,1
audacity,1
eccentricities,1
cleverness,2
utter,1
disregard,1
rank,2
immensely,1
popular,1
treated,2
curio,1
spoilt,1
guessed,3
peculiarly,1
level,2
approved,2
done,9
invaded,1
already,2
crowded,3
introduced,2
contracted,3
brief,3
contempt,3
fishlike,1
orbs,1
involuntarily,2
twitched,1
dart,1
courteous,1
pleasantly,2
whom,6
everyone,1
mortgaged,2
time’s,1
drove,2
craned,1
halfopen,1
dukee,2
called,5
hither,1
summoning,1
dignity,3
presented,3
deftly,1
changed,1
seats,1
plunged,1
animated,1
dispute,1
anent,1
vanishing,1
charms,1
languor,1
due,2
physical,1
contemplating,1
taking,5
answer,1
remarks,1
nevertheless,7
prolonged,2
indifferent,3
disturbed,1
susceptibility,1
regard,3
eye,3
weariness,1
responsive,1
inertia,1
vital,4
force,1
repels,1
title,11
pages,1
military,1
glory,1
rustled,1
appealed,1
history,4
snob,2
marrying,4
repelled,1
relegated,1
outer,2
circle,2
whence,1
banished,1
achieved,1
disapproval,1
thin,2
spell,1
emanated,1
selfcontained,1
personality,1
stirred,2
languid,2
pulse,1
practical,1
girl’s,2
imagination,1
haloed,1
ancient,2
sweep,1
historical,1
canvas,1
remembered,1
envied,1
violent,6
emotion,1
lobby,1
la,2
belle,2
dame,1
sans,1
merci,1
notion,1
he’d,4
turning,2
swallow,1
grimace,1
committed,2
intention,3
ridiculous,2
obliged,5
frankly,1
disgusting,1
