Words,Count
persecuted,2
whom,17
called,27
blonde,2
madonna,2
received,11
protection,3
infatuated,3
hated,22
begged,2
san,17
francisco,13
poor,30
alternative,1
tormented,1
millicent,15
aunt,7
desire,22
envy,2
captured,2
easterner,1
visiting,3
polo,1
burlingame,2
odd,18
communicate,2
trips,1
abroad,2
wife’s,3
duty,10
sniffed,2
perfect,9
imperfect,1
hit,6
subjected,2
form,6
insult,2
conceived,1
strong,9
distaste,2
husbands,7
abominated,1
informing,2
wished,13
scowl,1
grin,1
smack,1
toss,1
ceiling,4
according,2
mood,13
unlucky,1
gambler,1
whole,6
interest,28
debts,1
inheritances,1
expired,2
creditors,2
became,14
pressing,1
bundled,1
family,14
ran,21
generous,6
luck,7
jibed,1
servants,19
whoever,1
raging,1
raved,1
madman,1
collapsed,1
drunken,1
madonna’s,1
implored,1
forgiveness,1
increasingly,3
wellbred,2
dissipated,2
faces,7
ugliest,1
indelible,4
memories,5
war,14
appreciable,1
ended,4
abruptly,8
sixteen,3
typhoid,1
fever,1
french,5
provincial,4
hiding,2
sold,3
sears,3
engagementring,1
remaining,3
jewel,1
buried,1
thankfully,3
months,21
bedside,2
charity,2
ward,1
hospital,5
exercising,1
frantically,2
exhausted,4
neighborhood,1
keeping,4
recovered,4
faced,3
starvation,1
child’s,1
sake,8
scornful,2
criticism,2
sound,13
hundred,10
dollars,2
succession,1
cheap,3
pensions,3
food,4
dingy,2
company,9
indestructibly,1
expressed,6
indignation,1
peregrinations,1
interfered,3
schooling,1
quick,7
languages,1
ample,1
pick,4
ogled,1
street,8
abandoned,7
languid,1
carriage,3
anxious,13
training,2
throwing,3
striding,2
stiff,11
soldier,1
parade,1
finally,11
wailing,1
accompaniment,2
abundant,1
superlatively,2
horrid,10
nature,19
rotten,6
povertystricken,1
gowns,12
delicate,7
awful,4
annoy,2
seventeen,1
adventure,1
unloved,1
niece,1
heiress,1
frankly,6
hoped,13
vanity,10
longed,6
finish,2
associates,2
almost,70
enjoyed,6
school,3
cool,10
electric,1
climate,2
magnificent,7
drifting,2
fogs,2
walks,3
hills,2
chinese,2
cook’s,1
admirable,5
confections,1
millicent’s,6
faithful,1
anticipated,3
drifted,4
semiintimacy,1
filled,8
emulation,1
very,102
wisdom,1
serpent,1
fixed,2
intent,1
pleased,6
canny,1
ability,2
extensive,2
barely,13
interrupted,5
knowledge,5
nocuous,1
side,23
lust,1
cynical,1
maidens,2
inculcated,1
one’s,9
maternal,3
parent,1
law,5
defied,1
done,29
best,29
transform,1
severely,6
chaperoned,2
possible,22
admonished,1
particularly,12
unnecessary,1
warn,3
free,13
danced,8
preferred,8
embraced,1
snake,1
consequence,2
elementary,1
flirtation,2
informed,5
past,29
subtle,17
methods,2
practiced,1
coquetry,5
recourse,1
device,1
win,7
while,37
dupe,1
played,7
hollow,2
rôle,11
hunter,2
boys,10
telephone,9
often,26
took,56
restaurants,2
paid,4
bill,4
fiftyfifty,2
equality,1
sexes,1
vain,4
romance,14
mainspring,1
fiction,12
movies,1
intervals,3
parties,16
followers,1
evening,14
conversation,14
apparently,6
lost,25
arts,1
casually,5
desultory,1
wooing,7
suggested,7
hitch,2
accepted,15
several,32
type,13
baby,5
ceased,3
blush,4
frankness,1
horrified,4
accustomed,10
finesse,2
europeans,1
sober,1
plasticity,1
superimposed,1
self,4
believed,14
finished,13
permanent,4
structure,1
graduation,1
dinners,7
meant,8
dancing,13
recoiled,1
contact,4
innocuous,1
aware,10
importuned,1
dances,1
highbrow,1
wasn’t,6
regular,6
ought,7
tried,21
popular,2
desisted,1
understood,5
sincere,4
guess,12
cause,7
story,16
surface,8
psychic,1
wise,6
chaff,1
wheat,1
laughing,6
mattered,1
breakers,1
cliff,1
drowned,2
festering,1
sores,1
soul,12
noxious,1
experiences,2
fascinated,2
vivid,1
intolerance,1
sex,25
extinguished,1
possibility,3
unconsciously,4
cherished,3
forgetting,4
occasion,6
attract,1
average,2
rich,6
fell,21
criticized,1
retorted,2
dancer,2
mahjongg,2
player,1
lose,8
watching,6
covert,1
speculation,2
considerable,5
lured,1
conservatory,1
