Words,Count
rocky,7
winter,21
admitted,14
afford,6
sink,14
shaft,67
drive,14
tunnel,13
added,29
contemplate,3
finished,18
longdelayed,1
thousands,12
throw,14
away,69
development,17
miners,42
machinery,4
saw,80
immediate,8
resuming,1
studies,4
interrupted,15
eight,12
foreman,9
trust,13
desired,3
reasons,11
luxuries,2
distractions,3
fallow,1
shrewd,8
observing,4
deductions,1
realised,24
lived,25
understood,13
ignorant,8
general,8
estimates,1
assumed,8
retiring,2
weak,6
craven,1
ones,5
lacking,6
refinement,5
upon,92
prided,3
found,93
wooing,1
arrogantly,1
masculine,13
things,49
shynesses,1
refined,3
sensitive,5
theories,4
disliked,4
upset,3
knowing,12
use,40
spirited,2
vernacular,3
began,30
haunted,5
fear,14
making,21
mistake,5
living,16
comparative,2
isolation,4
womanly,4
pride,31
involved,1
affection,3
habit,20
selfish,2
rooted,1
animal,1
function,1
maternity,1
supreme,5
faith,12
future,21
share,4
tired,29
attempting,1
fathom,2
reserves,3
peculiarities,1
trying,15
resort,6
playacting,2
fully,4
limitations,2
keen,19
selfappreciation,1
constant,6
make,161
mess,2
penetrating,3
discovered,11
funny,7
stories,8
nor,67
appeared,14
amused,15
hers,11
sense,62
humour,8
ii,8
couple,5
together,29
blue,42
sky,9
cold,46
polished,3
masses,10
cloud,1
glittering,7
snow,14
peaks,4
smooth,2
fields,5
slopes,2
azure,1
sapphire,2
deep,37
lovely,5
cool,14
polaric,1
inverted,1
depths,18
forever,7
dissociated,2
art,16
extramundane,1
drawn,13
bed,22
childhood,4
horizons,1
ago,29
obscured,1
poisonous,3
haze,1
ores,24
roasted,3
weird,2
novels,4
informed,7
sunrises,1
worst,12
grey,19
something,103
mysterious,7
hated,14
mystery,4
charm,14
dragged,2
endeavoured,5
morning,53
rampant,2
drew,20
closer,7
enthrall,1
times,28
within,28
shallows,1
education,14
equipment,3
appalled,4
generally,11
busy,12
think,142
detect,2
playing,11
automatically,7
blandishments,1
sensible,5
presence,5
watchful,2
concentrated,10
light,48
